countries;Urban population (% of total)
St. Vincent and the Grenadines;49.3078
St.-Pierre-et-Miquelon;
Samoa;19.8846
San Marino;94.1148
Sao Tome and Principe;62.65
Saudi Arabia;82.29
Senegal;42.5598
Serbia;56.379
Serbia and Montenegro;
Serbia excluding Kosovo;
Seychelles;53.6236
Sierra Leone;39.2558
Singapore;100
Slovak Republic;54.7814
Slovenia;49.9294
Solomon Islands;20.4602
Somalia;37.7604
Somaliland;
South Africa;61.9868
South Ossetia;
Spain;77.4286
Sri Lanka;15.1264
Sudan;33.2352
Suriname;69.723
Svalbard;
Swaziland;21.2808
Sweden;85.2058
Switzerland;73.7098
Syria;56.0686
Taiwan;
Tajikistan;26.554
Tanzania;26.7424
Thailand;34.1104
Timor-Leste;28.3446
Togo;38.02
Tokelau;
Tonga;23.4662
Transnistria;
Trinidad and Tobago;13.7116
Tunisia;66.3142
Turkey;71.4094
Turkmenistan;48.7416
Turks and Caicos Islands;93.6658
Tuvalu;50.5616
Uganda;15.579
Ukraine;68.884
United Arab Emirates;84.3316
United Kingdom;79.6356
United States;82.384
Uruguay;92.544
USSR;
Uzbekistan;36.248
Wallis et Futuna;
Vanuatu;24.9022
Venezuela;93.5048
West Bank and Gaza;74.3516
West Germany;
Western Sahara;
Vietnam;31.0356
Virgin Islands (U.S.);95.426
North Yemen (former);
South Yemen (former);
Yemen;32.3248
Yugoslavia;
Zambia;39.1654
Zimbabwe;38.6206
Åland;
South Sudan;18.0542
Christian;
Coastline;
Curaçao;
Sint Maarten (Dutch part);
St. Martin (French part);
Antarctica;
Virgin Islands, British;
Hawaiian Trade Zone;
U.S. Pacific Islands;
Wake Island;
Bonaire, Saint Eustatius and Saba;
Sark;
Chinese Taipei;
